rodada,atleta_id,clube_id,pontuacao,pontuacao_media,preco,preco_variacao,posicao,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,participou
31,82630,354,0.0,1.61,2.47,0.0,mei,15.0,17.0,,,4.0,9.0,1.0,1.0,,6.0,9.0,,2.0,,,,,,False
31,82767,267,0.0,-0.03,3.75,0.0,ata,4.0,4.0,,,,2.0,,,,2.0,3.0,,2.0,,,,,,False
31,83772,287,2.4,3.9,11.44,-0.8,ata,51.0,85.0,4.0,2.0,6.0,18.0,6.0,4.0,,34.0,40.0,,7.0,1.0,,,,,True
31,83817,264,0.0,1.56,8.38,0.0,ata,17.0,28.0,1.0,,6.0,4.0,1.0,5.0,,13.0,16.0,,3.0,,,,,,False
31,82939,327,-0.3,1.56,3.87,0.1,mei,27.0,64.0,1.0,1.0,8.0,9.0,1.0,1.0,,5.0,6.0,,,,,,,,True
31,83869,217,0.0,4.5,3.92,0.0,lat,,,,,,,,,,3.0,,,,,,,,,False
31,84893,267,0.0,2.33,6.38,0.0,lat,32.0,36.0,1.0,,3.0,4.0,,2.0,,21.0,25.0,,4.0,1.0,4.0,,,,False
31,84187,217,0.0,1.65,4.63,0.0,zag,6.0,3.0,,,1.0,,,,,1.0,3.0,,,,,,,,False
31,84555,327,0.0,0.0,4.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
31,84509,354,0.0,3.39,6.34,-1.4,zag,6.0,6.0,,,,3.0,1.0,,,11.0,5.0,,,,3.0,,,,True
31,83048,315,6.3,2.36,5.02,1.23,zag,16.0,43.0,,,3.0,3.0,1.0,1.0,,28.0,16.0,,7.0,,7.0,,,,True
31,84917,287,4.0,2.71,5.92,0.9,lat,22.0,70.0,1.0,,1.0,3.0,,3.0,,41.0,28.0,,7.0,,8.0,,,,True
31,84558,283,4.7,3.5,6.21,0.11,mei,23.0,36.0,,,2.0,3.0,,1.0,,50.0,22.0,,3.0,,,,,,True
31,85004,266,0.0,0.0,2.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
31,85027,217,0.0,1.52,4.51,0.0,ata,24.0,24.0,,,6.0,15.0,1.0,11.0,,16.0,19.0,,6.0,,,,,,False
